,Category,ID,Name,PValue,QValueFDRBH,QValueFDRBY,QValueBonferroni,TotalGenes,GenesInTerm,GenesInQuery,GenesInTermInQuery,Source,URL,Genes
0,Interaction,int:ZMYND10,ZMYND10 interactions,6.091125259217928e-44,4.740113676723392e-40,4.520574632956728e-39,4.740113676723392e-40,19896,22,57,18, , ,"[{'Entrez': 256646, 'Symbol': 'NUTM1'}, {'Entrez': 23559, 'Symbol': 'WBP1'}, {'Entrez': 6925, 'Symbol': 'TCF4'}, {'Entrez': 1038, 'Symbol': 'CDR1'}, {'Entrez': 54033, 'Symbol': 'RBM11'}, {'Entrez': 51364, 'Symbol': 'ZMYND10'}, {'Entrez': 57515, 'Symbol': 'SERINC1'}, {'Entrez': 51255, 'Symbol': 'RNF181'}, {'Entrez': 4696, 'Symbol': 'NDUFA3'}, {'Entrez': 29916, 'Symbol': 'SNX11'}, {'Entrez': 81628, 'Symbol': 'TSC22D4'}, {'Entrez': 54754, 'Symbol': 'NUTM2F'}, {'Entrez': 375791, 'Symbol': 'CYSRT1'}, {'Entrez': 8431, 'Symbol': 'NR0B2'}, {'Entrez': 10480, 'Symbol': 'EIF3M'}, {'Entrez': 23281, 'Symbol': 'MTUS2'}, {'Entrez': 112752, 'Symbol': 'IFT43'}, {'Entrez': 6910, 'Symbol': 'TBX5'}]"
1,Interaction,int:SYNE1,SYNE1 interactions,1.71606514364062e-42,6.677209473905654e-39,6.367953560882011e-38,1.33544189478113e-38,19896,91,57,24, , ,"[{'Entrez': 23043, 'Symbol': 'TNIK'}, {'Entrez': 648, 'Symbol': 'BMI1'}, {'Entrez': 126859, 'Symbol': 'AXDND1'}, {'Entrez': 81565, 'Symbol': 'NDEL1'}, {'Entrez': 8736, 'Symbol': 'MYOM1'}, {'Entrez': 4000, 'Symbol': 'LMNA'}, {'Entrez': 55081, 'Symbol': 'IFT57'}, {'Entrez': 23345, 'Symbol': 'SYNE1'}, {'Entrez': 27185, 'Symbol': 'DISC1'}, {'Entrez': 25777, 'Symbol': 'SUN2'}, {'Entrez': 2099, 'Symbol': 'ESR1'}, {'Entrez': 23353, 'Symbol': 'SUN1'}, {'Entrez': 3009, 'Symbol': 'H1-5'}, {'Entrez': 324, 'Symbol': 'APC'}, {'Entrez': 9416, 'Symbol': 'DDX23'}, {'Entrez': 3151, 'Symbol': 'HMGN2'}, {'Entrez': 2010, 'Symbol': 'EMD'}, {'Entrez': 112858, 'Symbol': 'TP53RK'}, {'Entrez': 988, 'Symbol': 'CDC5L'}, {'Entrez': 5475, 'Symbol': 'PPEF1'}, {'Entrez': 998, 'Symbol': 'CDC42'}, {'Entrez': 624, 'Symbol': 'BDKRB2'}, {'Entrez': 9467, 'Symbol': 'SH3BP5'}, {'Entrez': 80254, 'Symbol': 'CEP63'}]"
2,Pubmed,31413325,"HENA, heterogeneous network-based data set for Alzheimer's disease.",2.035496613962557e-17,3.8971618170927133e-13,4.067503204072998e-12,3.8971618170927133e-13,44761,88,57,10,Pubmed,http://pubmed.org/31413325,"[{'Entrez': 23043, 'Symbol': 'TNIK'}, {'Entrez': 81565, 'Symbol': 'NDEL1'}, {'Entrez': 26146, 'Symbol': 'TRAF3IP1'}, {'Entrez': 23345, 'Symbol': 'SYNE1'}, {'Entrez': 27185, 'Symbol': 'DISC1'}, {'Entrez': 324, 'Symbol': 'APC'}, {'Entrez': 55763, 'Symbol': 'EXOC1'}, {'Entrez': 988, 'Symbol': 'CDC5L'}, {'Entrez': 9467, 'Symbol': 'SH3BP5'}, {'Entrez': 80254, 'Symbol': 'CEP63'}]"
3,Pubmed,28533284,Nesprin 1α2 is essential for mouse postnatal viability and nuclear positioning in skeletal muscle.,6.797779786918334e-16,6.507514590016921e-12,6.791952114832059e-11,1.3015029180033841e-11,44761,10,57,6,Pubmed,http://pubmed.org/28533284,"[{'Entrez': 4000, 'Symbol': 'LMNA'}, {'Entrez': 23345, 'Symbol': 'SYNE1'}, {'Entrez': 25777, 'Symbol': 'SUN2'}, {'Entrez': 23224, 'Symbol': 'SYNE2'}, {'Entrez': 23353, 'Symbol': 'SUN1'}, {'Entrez': 2010, 'Symbol': 'EMD'}]"
4,Pubmed,19933576,Mammalian SUN protein interaction networks at the inner nuclear membrane and their role in laminopathy disease processes.,2.8002626841424153e-15,1.787127645019689e-11,1.8652413636824062e-10,5.3613829350590676e-11,44761,5,57,5,Pubmed,http://pubmed.org/19933576,"[{'Entrez': 4000, 'Symbol': 'LMNA'}, {'Entrez': 25777, 'Symbol': 'SUN2'}, {'Entrez': 23224, 'Symbol': 'SYNE2'}, {'Entrez': 23353, 'Symbol': 'SUN1'}, {'Entrez': 2010, 'Symbol': 'EMD'}]"
5,Interaction,int:DST,DST interactions,1.5280048270039092e-13,3.9636445212481403e-10,3.780067757615059e-09,1.1890933563744423e-09,19896,186,57,12, , ,"[{'Entrez': 4609, 'Symbol': 'MYC'}, {'Entrez': 23043, 'Symbol': 'TNIK'}, {'Entrez': 648, 'Symbol': 'BMI1'}, {'Entrez': 10146, 'Symbol': 'G3BP1'}, {'Entrez': 26146, 'Symbol': 'TRAF3IP1'}, {'Entrez': 27185, 'Symbol': 'DISC1'}, {'Entrez': 2099, 'Symbol': 'ESR1'}, {'Entrez': 324, 'Symbol': 'APC'}, {'Entrez': 55763, 'Symbol': 'EXOC1'}, {'Entrez': 988, 'Symbol': 'CDC5L'}, {'Entrez': 9467, 'Symbol': 'SH3BP5'}, {'Entrez': 80254, 'Symbol': 'CEP63'}]"
6,Pubmed,17043677,Disrupted in Schizophrenia 1 Interactome: evidence for the close connectivity of risk genes and a potential synaptic basis for schizophrenia.,3.483149496920302e-13,1.6672095067009022e-09,1.740081712959458e-08,6.66883802680361e-09,44761,151,57,9,Pubmed,http://pubmed.org/17043677,"[{'Entrez': 23043, 'Symbol': 'TNIK'}, {'Entrez': 81565, 'Symbol': 'NDEL1'}, {'Entrez': 26146, 'Symbol': 'TRAF3IP1'}, {'Entrez': 23345, 'Symbol': 'SYNE1'}, {'Entrez': 27185, 'Symbol': 'DISC1'}, {'Entrez': 55763, 'Symbol': 'EXOC1'}, {'Entrez': 988, 'Symbol': 'CDC5L'}, {'Entrez': 9467, 'Symbol': 'SH3BP5'}, {'Entrez': 80254, 'Symbol': 'CEP63'}]"
7,Pubmed,23071752,LINC complexes mediate the positioning of cone photoreceptor nuclei in mouse retina.,2.364795542198014e-12,5.03070838343591e-09,5.250596056503358e-08,4.5276375450923196e-08,44761,4,57,4,Pubmed,http://pubmed.org/23071752,"[{'Entrez': 4000, 'Symbol': 'LMNA'}, {'Entrez': 23345, 'Symbol': 'SYNE1'}, {'Entrez': 23224, 'Symbol': 'SYNE2'}, {'Entrez': 23353, 'Symbol': 'SUN1'}]"
8,Pubmed,20108321,"Nesprins, but not sun proteins, switch isoforms at the nuclear envelope during muscle development.",2.364795542198014e-12,5.03070838343591e-09,5.250596056503358e-08,4.5276375450923196e-08,44761,4,57,4,Pubmed,http://pubmed.org/20108321,"[{'Entrez': 23345, 'Symbol': 'SYNE1'}, {'Entrez': 25777, 'Symbol': 'SUN2'}, {'Entrez': 23224, 'Symbol': 'SYNE2'}, {'Entrez': 23353, 'Symbol': 'SUN1'}]"
9,Pubmed,12163176,Nesprin-1alpha self-associates and binds directly to emerin and lamin A in vitro.,2.364795542198014e-12,5.03070838343591e-09,5.250596056503358e-08,4.5276375450923196e-08,44761,4,57,4,Pubmed,http://pubmed.org/12163176,"[{'Entrez': 4000, 'Symbol': 'LMNA'}, {'Entrez': 23345, 'Symbol': 'SYNE1'}, {'Entrez': 2010, 'Symbol': 'EMD'}, {'Entrez': 8815, 'Symbol': 'BANF1'}]"
