,Superphenotype,Node_name,Node_type,Phenotype_MIM_number,Gene_MIM_number,Parenthetical
0,SPGF33,Infertility,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,618152,,
1,SPGF33,Asthenozoospermia,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,618152,,
2,SPGF33,No motile sperm,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,618152,,
3,SPGF33,Morphologic defects of all sperm flagella,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,618152,,
4,SPGF33,Short sperm flagella,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,618152,,
5,SPGF33,Absent sperm flagella,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,618152,,
6,SPGF33,Irregular width of sperm flagella,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,618152,,
7,SPGF33,Coiled sperm flagella,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,618152,,
8,SPGF33,Axonemal and periaxonemal defects seen on transmission electron microscopy,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,618152,,
9,SPGF33,Disorganization of outer dense fibers,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,618152,,
10,SPGF33,Disorganization of mitochondrial sheath,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,618152,,
11,SPGF33,Unassembled fibrous sheath,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,618152,,
12,HYDCC1,Neurodevelopmental delay,entry.clinicalSynopsis.neurologicCentralNervousSystem,618667,,
13,HYDCC1,Epilepsy,entry.clinicalSynopsis.neurologicCentralNervousSystem,618667,,
14,HYDCC1,"Hydrocephalus, communicating",entry.clinicalSynopsis.neurologicCentralNervousSystem,618667,,
15,HYDCC1,Enlarged ventricles,entry.clinicalSynopsis.neurologicCentralNervousSystem,618667,,
16,HYDCC1,Schizencephalic clefts,entry.clinicalSynopsis.neurologicCentralNervousSystem,618667,,(in some patients)
17,HYDCC1,Hydrocephalus apparent on prenatal ultrasound,entry.clinicalSynopsis.prenatalManifestations,618667,,
18,HFE1,Cardiomyopathy,entry.clinicalSynopsis.cardiovascularHeart,235200,,
19,HFE1,Congestive heart failure,entry.clinicalSynopsis.cardiovascularHeart,235200,,
20,HFE1,Arrhythmia,entry.clinicalSynopsis.cardiovascularHeart,235200,,
21,HFE1,Cardiomegaly,entry.clinicalSynopsis.cardiovascularHeart,235200,,
22,HFE1,Pleural effusion,entry.clinicalSynopsis.respiratoryLung,235200,,
23,HFE1,Abdominal pain,entry.clinicalSynopsis.abdomen,235200,,
24,HFE1,Ascites,entry.clinicalSynopsis.abdomen,235200,,
25,HFE1,Cirrhosis,entry.clinicalSynopsis.abdomenLiver,235200,,
26,HFE1,Hepatomegaly,entry.clinicalSynopsis.abdomenLiver,235200,,
27,HFE1,Hepatocellular carcinoma,entry.clinicalSynopsis.abdomenLiver,235200,,
28,HFE1,Splenomegaly,entry.clinicalSynopsis.abdomenSpleen,235200,,
29,HFE1,Impotence,entry.clinicalSynopsis.genitourinaryExternalGenitaliaMale,235200,,
30,HFE1,Testicular atrophy,entry.clinicalSynopsis.genitourinaryExternalGenitaliaMale,235200,,
31,HFE1,Azoospermia,entry.clinicalSynopsis.genitourinaryExternalGenitaliaMale,235200,,
32,HFE1,Amenorrhea,entry.clinicalSynopsis.genitourinaryInternalGenitaliaFemale,235200,,
33,HFE1,Arthropathy,entry.clinicalSynopsis.skeletal,235200,,
34,HFE1,Osteoporosis,entry.clinicalSynopsis.skeletal,235200,,
35,HFE1,Hyperpigmentation,entry.clinicalSynopsis.skinNailsHairSkin,235200,,
36,HFE1,Telangiectases,entry.clinicalSynopsis.skinNailsHairSkin,235200,,
37,HFE1,Alopecia,entry.clinicalSynopsis.skinNailsHairHair,235200,,
38,HFE1,Diabetes mellitus,entry.clinicalSynopsis.endocrineFeatures,235200,,
39,HFE1,Hypogonadotropic hypogonadism,entry.clinicalSynopsis.endocrineFeatures,235200,,
40,HFE1,Abnormal glucose tolerance,entry.clinicalSynopsis.endocrineFeatures,235200,,
41,HFE1,Increased transaminases,entry.clinicalSynopsis.laboratoryAbnormalities,235200,,
42,HFE1,Increased serum iron,entry.clinicalSynopsis.laboratoryAbnormalities,235200,,
43,HFE1,Increased transferrin saturation,entry.clinicalSynopsis.laboratoryAbnormalities,235200,,(>60%)
44,HFE1,Increased serum ferritin,entry.clinicalSynopsis.laboratoryAbnormalities,235200,,
45,HFE1,Increased hepatic parenchymal cell stainable iron,entry.clinicalSynopsis.laboratoryAbnormalities,235200,,
46,DCBXA,Dicarboxylic aminoaciduria,entry.clinicalSynopsis.laboratoryAbnormalities,222730,,
47,DCBXA,Aspartic aciduria,entry.clinicalSynopsis.laboratoryAbnormalities,222730,,
48,DCBXA,Glutamic aciduria,entry.clinicalSynopsis.laboratoryAbnormalities,222730,,
49,DCBXA,Kidney stones,entry.clinicalSynopsis.genitourinaryKidneys,222730,,
50,DCBXA,Obsessive compulsive disorder,entry.clinicalSynopsis.neurologicBehavioralPsychiatricManifestations,222730,,
51,DFNB66,"Hearing loss, sensorineural, profound",entry.clinicalSynopsis.headAndNeckEars,610212,,
52,HH21,Hyposmia/anosmia,entry.clinicalSynopsis.neurologicCentralNervousSystem,615271,,(in some patients)
53,HH21,Osteopenia,entry.clinicalSynopsis.skeletal,615271,,(in some patients)
54,HH21,Osteoporosis,entry.clinicalSynopsis.skeletal,615271,,(in some patients)
55,HH21,Fractures,entry.clinicalSynopsis.skeletal,615271,,(in some patients)
56,HH21,Delayed or absent puberty,entry.clinicalSynopsis.endocrineFeatures,615271,,
57,HH21,Hearing loss,entry.clinicalSynopsis.headAndNeckEars,615271,,(in some patients)
58,HH21,Hyposmia/anosmia,entry.clinicalSynopsis.headAndNeckNose,615271,,(in some patients)
59,HH21,Cleft lip and/or palate,entry.clinicalSynopsis.headAndNeckMouth,615271,,(in some patients)
60,HH21,Delayed or absent puberty,entry.clinicalSynopsis.genitourinary,615271,,
61,HH23,Small or normal testes,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,228300,,
62,HH23,Low semen volume,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,228300,,
63,HH23,Reduced or absent spermatogenesis,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,228300,,
64,HH23,Reduced or absent Leydig cells,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,228300,,
65,HH23,Testicular microlithiasis,entry.clinicalSynopsis.genitourinaryInternalGenitaliaMale,228300,,
66,HH23,Small penis,entry.clinicalSynopsis.genitourinaryExternalGenitaliaMale,228300,,
67,HH23,Oligomenorrhea after menarche,entry.clinicalSynopsis.genitourinaryInternalGenitaliaFemale,228300,,
68,HH23,Secondary amenorrhea,entry.clinicalSynopsis.genitourinaryInternalGenitaliaFemale,228300,,
