,Superphenotype,Node_name,Node_type,Phenotype_MIM_number,Gene_MIM_number,Parenthetical
0,SPGF33,CFAP251,phenotypeMap.approvedGeneSymbols,618152,618146,
1,HYDCC1,TRIM71,phenotypeMap.approvedGeneSymbols,618667,618570,
2,HFE1,HFE,phenotypeMap.approvedGeneSymbols,235200,613609,
3,HFE1,BMP2,phenotypeMap.approvedGeneSymbols,235200,112261,
4,BMND17,LGR4,phenotypeMap.approvedGeneSymbols,615311,606666,
5,DCBXA,SLC1A1,phenotypeMap.approvedGeneSymbols,222730,133550,
6,DFNB66,DCDC2,phenotypeMap.approvedGeneSymbols,610212,605755,
7,HH21,FLRT3,phenotypeMap.approvedGeneSymbols,615271,604808,
8,HH23,LHB,phenotypeMap.approvedGeneSymbols,228300,152780,
9,LDLCQ8,LIMA1,phenotypeMap.approvedGeneSymbols,618079,608364,
10,HOMG1,TRPM6,phenotypeMap.approvedGeneSymbols,602014,607009,
11,HPE13,STAG2,phenotypeMap.approvedGeneSymbols,301043,300826,
12,NDNC1,FZD6,phenotypeMap.approvedGeneSymbols,161050,603409,
13,IIAE11,DBR1,phenotypeMap.approvedGeneSymbols,619441,607024,
14,ATFB13,SCN1B,phenotypeMap.approvedGeneSymbols,615377,600235,
15,SPGF64,FBXO43,phenotypeMap.approvedGeneSymbols,619696,609110,
16,CCM4,PIK3CA,phenotypeMap.approvedGeneSymbols,619538,171834,
17,SQORD,SQOR,phenotypeMap.approvedGeneSymbols,619221,617658,
18,"HYPERTENSION, ESSENTIAL",ECE1,phenotypeMap.approvedGeneSymbols,145500,600423,
19,"HYPERTENSION, ESSENTIAL",RGS5,phenotypeMap.approvedGeneSymbols,145500,603276,
20,"HYPERTENSION, ESSENTIAL",ATP1B1,phenotypeMap.approvedGeneSymbols,145500,182330,
21,"HYPERTENSION, ESSENTIAL",AGT,phenotypeMap.approvedGeneSymbols,145500,106150,
22,"HYPERTENSION, ESSENTIAL",AGTR1,phenotypeMap.approvedGeneSymbols,145500,106165,
23,"HYPERTENSION, ESSENTIAL",ADD1,phenotypeMap.approvedGeneSymbols,145500,102680,
24,"HYPERTENSION, ESSENTIAL",CYP3A5,phenotypeMap.approvedGeneSymbols,145500,605325,
25,"HYPERTENSION, ESSENTIAL",NOS3,phenotypeMap.approvedGeneSymbols,145500,163729,
26,"HYPERTENSION, ESSENTIAL",GNB3,phenotypeMap.approvedGeneSymbols,145500,139130,
27,"HYPERTENSION, ESSENTIAL",PTGIS,phenotypeMap.approvedGeneSymbols,145500,601699,
28,RPRGL2,F2,phenotypeMap.approvedGeneSymbols,614390,176930,
29,SPGF33,ENSG00000158023,phenotypeMap.ensemblIDs,618152,618146,
30,HYDCC1,ENSG00000206557,phenotypeMap.ensemblIDs,618667,618570,
31,HFE1,ENSG00000010704,phenotypeMap.ensemblIDs,235200,613609,
32,HFE1,ENSG00000125845,phenotypeMap.ensemblIDs,235200,112261,
33,BMND17,ENSG00000205213,phenotypeMap.ensemblIDs,615311,606666,
34,DCBXA,ENSG00000106688,phenotypeMap.ensemblIDs,222730,133550,
35,DFNB66,ENSG00000146038,phenotypeMap.ensemblIDs,610212,605755,
36,HH21,ENSG00000125848,phenotypeMap.ensemblIDs,615271,604808,
37,HH23,ENSG00000104826,phenotypeMap.ensemblIDs,228300,152780,
38,LDLCQ8,ENSG00000050405,phenotypeMap.ensemblIDs,618079,608364,
39,HOMG1,ENSG00000119121,phenotypeMap.ensemblIDs,602014,607009,
40,HPE13,ENSG00000101972,phenotypeMap.ensemblIDs,301043,300826,
41,NDNC1,ENSG00000164930,phenotypeMap.ensemblIDs,161050,603409,
42,IIAE11,ENSG00000138231,phenotypeMap.ensemblIDs,619441,607024,
43,ATFB13,ENSG00000105711,phenotypeMap.ensemblIDs,615377,600235,
44,SPGF64,ENSG00000156509,phenotypeMap.ensemblIDs,619696,609110,
45,CCM4,ENSG00000121879,phenotypeMap.ensemblIDs,619538,171834,
46,SQORD,ENSG00000137767,phenotypeMap.ensemblIDs,619221,617658,
47,"HYPERTENSION, ESSENTIAL",ENSG00000117298,phenotypeMap.ensemblIDs,145500,600423,
48,"HYPERTENSION, ESSENTIAL",ENSG00000232995,phenotypeMap.ensemblIDs,145500,603276,
49,"HYPERTENSION, ESSENTIAL",ENSG00000143153,phenotypeMap.ensemblIDs,145500,182330,
50,"HYPERTENSION, ESSENTIAL",ENSG00000135744,phenotypeMap.ensemblIDs,145500,106150,
51,RPRGL2,ENSG00000180210,phenotypeMap.ensemblIDs,614390,176930,
52,BFNS2,KCNQ3,phenotypeMap.approvedGeneSymbols,121201,602232,
53,NEDSGO,TBC1D2B,phenotypeMap.approvedGeneSymbols,619323,619152,
54,NPHP11,TMEM67,phenotypeMap.approvedGeneSymbols,613550,609884,
55,VEXAS,UBA1,phenotypeMap.approvedGeneSymbols,301054,314370,
56,BFNS2,ENSG00000184156,phenotypeMap.ensemblIDs,121201,602232,
57,NEDSGO,ENSG00000167202,phenotypeMap.ensemblIDs,619323,619152,
58,NPHP11,ENSG00000164953,phenotypeMap.ensemblIDs,613550,609884,
59,VEXAS,ENSG00000130985,phenotypeMap.ensemblIDs,301054,314370,
