,Superphenotype,Node_name,Node_type,Phenotype_MIM_number,Gene_MIM_number,Parenthetical
0,GACI2,Coronary artery calcification,entry.clinicalSynopsis.cardiovascularHeart,614473,,
1,GACI2,Cardiac dysfunction,entry.clinicalSynopsis.cardiovascularHeart,614473,,
2,GACI2,Myocardial infarction,entry.clinicalSynopsis.cardiovascularHeart,614473,,(in some patients)
3,GACI2,Heart failure,entry.clinicalSynopsis.cardiovascularHeart,614473,,
4,GACI2,"Generalized calcification of arteries, including aorta and intraparenchymal arteries",entry.clinicalSynopsis.cardiovascularVascular,614473,,
5,GACI2,Hypertension,entry.clinicalSynopsis.cardiovascularVascular,614473,,(in some patients)
6,GACI2,Calcification of renal arteries,entry.clinicalSynopsis.genitourinaryKidneys,614473,,
7,GACI2,Nephrocalcinosis,entry.clinicalSynopsis.genitourinaryKidneys,614473,,(in some patients)
8,GACI2,Tubular calcification,entry.clinicalSynopsis.genitourinaryKidneys,614473,,(in some patients)
9,GACI2,Hypophosphatemic rickets,entry.clinicalSynopsis.skeletalLimbs,614473,,(in some patients)
10,GACI2,Hypophosphatemic rickets,entry.clinicalSynopsis.metabolicFeatures,614473,,(in some patients)
11,SSS4,Syncope,entry.clinicalSynopsis.cardiovascularHeart,619464,,
12,SSS4,Sinus bradycardia,entry.clinicalSynopsis.cardiovascularHeart,619464,,
13,SSS4,Chronotropic incompetence,entry.clinicalSynopsis.cardiovascularHeart,619464,,
14,SSS4,Sinoatrial block,entry.clinicalSynopsis.cardiovascularHeart,619464,,
15,SSS4,"Atrioventricular block, mild to severe",entry.clinicalSynopsis.cardiovascularHeart,619464,,
16,SSS4,"Atrial fibrillation, intermittent",entry.clinicalSynopsis.cardiovascularHeart,619464,,
17,C4AD,Glomerulonephritis,entry.clinicalSynopsis.genitourinaryKidneys,614380,,
18,C4AD,Photosensitive skin rashes,entry.clinicalSynopsis.skinNailsHairSkin,614380,,
19,C4AD,Systemic lupus erythematosus,entry.clinicalSynopsis.immunology,614380,,
20,C4AD,Dermatomyositis,entry.clinicalSynopsis.immunology,614380,,
21,C4AD,Anaphylactoid purpura,entry.clinicalSynopsis.immunology,614380,,
22,C4AD,Vasculitis,entry.clinicalSynopsis.immunology,614380,,
23,C4AD,Absent CH50 activity in complete C4 deficiency,entry.clinicalSynopsis.laboratoryAbnormalities,614380,,
