,Superphenotype,Node_name,Node_type,Phenotype_MIM_number,Gene_MIM_number,Parenthetical
0,MADD,ETFDH,phenotypeMap.approvedGeneSymbols,231680,231675,
1,MADD,ETFA,phenotypeMap.approvedGeneSymbols,231680,608053,
2,MADD,ETFB,phenotypeMap.approvedGeneSymbols,231680,130410,
3,COXPD38,MRPS14,phenotypeMap.approvedGeneSymbols,618378,611978,
4,COXPD32,MRPS34,phenotypeMap.approvedGeneSymbols,617664,611994,
5,PGL6,SLC25A11,phenotypeMap.approvedGeneSymbols,618464,604165,
6,MMIHS3,LMOD1,phenotypeMap.approvedGeneSymbols,619362,602715,
7,DFNB106,EPS8L2,phenotypeMap.approvedGeneSymbols,617637,614988,
8,MDDGC4,FKTN,phenotypeMap.approvedGeneSymbols,611588,607440,
9,PARK14,PLA2G6,phenotypeMap.approvedGeneSymbols,612953,603604,
10,"ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY",WNT7A,phenotypeMap.approvedGeneSymbols,276820,601570,
11,NPHP19,DCDC2,phenotypeMap.approvedGeneSymbols,616217,605755,
12,BILIQTL1,UGT1A1,phenotypeMap.approvedGeneSymbols,601816,191740,
13,CDG1J,DPAGT1,phenotypeMap.approvedGeneSymbols,608093,191350,
14,AGS4,RNASEH2A,phenotypeMap.approvedGeneSymbols,610333,606034,
15,OPA3,OPA3,phenotypeMap.approvedGeneSymbols,165300,606580,
16,HHHS,SLC25A15,phenotypeMap.approvedGeneSymbols,238970,603861,
17,VACRDS,RYR2,phenotypeMap.approvedGeneSymbols,115000,180902,
18,AUTS19,EIF4E,phenotypeMap.approvedGeneSymbols,615091,133440,
19,HH8,KISS1R,phenotypeMap.approvedGeneSymbols,614837,604161,
20,PARK7,DJ1,phenotypeMap.approvedGeneSymbols,606324,602533,
21,MADD,ENSG00000171503,phenotypeMap.ensemblIDs,231680,231675,
22,MADD,ENSG00000140374,phenotypeMap.ensemblIDs,231680,608053,
23,MADD,ENSG00000105379,phenotypeMap.ensemblIDs,231680,130410,
24,COXPD38,ENSG00000120333,phenotypeMap.ensemblIDs,618378,611978,
25,COXPD32,ENSG00000074071,phenotypeMap.ensemblIDs,617664,611994,
26,PGL6,ENSG00000108528,phenotypeMap.ensemblIDs,618464,604165,
27,MMIHS3,ENSG00000163431,phenotypeMap.ensemblIDs,619362,602715,
28,DFNB106,ENSG00000177106,phenotypeMap.ensemblIDs,617637,614988,
29,MDDGC4,ENSG00000106692,phenotypeMap.ensemblIDs,611588,607440,
30,PARK14,ENSG00000184381,phenotypeMap.ensemblIDs,612953,603604,
31,"ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY",ENSG00000154764,phenotypeMap.ensemblIDs,276820,601570,
32,NPHP19,ENSG00000146038,phenotypeMap.ensemblIDs,616217,605755,
33,BILIQTL1,ENSG00000241635,phenotypeMap.ensemblIDs,601816,191740,
34,CDG1J,ENSG00000172269,phenotypeMap.ensemblIDs,608093,191350,
35,AGS4,ENSG00000104889,phenotypeMap.ensemblIDs,610333,606034,
36,OPA3,ENSG00000125741,phenotypeMap.ensemblIDs,165300,606580,
37,HHHS,ENSG00000102743,phenotypeMap.ensemblIDs,238970,603861,
38,VACRDS,ENSG00000198626,phenotypeMap.ensemblIDs,115000,180902,
39,AUTS19,ENSG00000151247,phenotypeMap.ensemblIDs,615091,133440,
40,HH8,ENSG00000116014,phenotypeMap.ensemblIDs,614837,604161,
41,PARK7,ENSG00000116288,phenotypeMap.ensemblIDs,606324,602533,
42,COXPD3,TSFM,phenotypeMap.approvedGeneSymbols,610505,604723,
43,ACHM2,CNGA3,phenotypeMap.approvedGeneSymbols,216900,600053,
44,BCHED,BCHE,phenotypeMap.approvedGeneSymbols,617936,177400,
45,BCHED,BCHE,phenotypeMap.approvedGeneSymbols,617936,177400,
46,PHLS,SMO,phenotypeMap.approvedGeneSymbols,241800,601500,
47,COXPD3,ENSG00000123297,phenotypeMap.ensemblIDs,610505,604723,
48,ACHM2,ENSG00000144191,phenotypeMap.ensemblIDs,216900,600053,
49,BCHED,ENSG00000114200,phenotypeMap.ensemblIDs,617936,177400,
50,BCHED,ENSG00000114200,phenotypeMap.ensemblIDs,617936,177400,
51,PHLS,ENSG00000128602,phenotypeMap.ensemblIDs,241800,601500,
