,Category,ID,Name,PValue,QValueFDRBH,QValueFDRBY,QValueBonferroni,TotalGenes,GenesInTerm,GenesInQuery,GenesInTermInQuery,Source,URL,Genes
0,GeneOntologyCellularComponent,GO:0045251,electron transfer flavoprotein complex,1.50649033705681e-09,1.2805167864982892e-07,7.319372992527863e-07,2.5610335729965784e-07,20932,3,25,3, , ,"[{'Entrez': 2108, 'Symbol': 'ETFA'}, {'Entrez': 2109, 'Symbol': 'ETFB'}, {'Entrez': 2110, 'Symbol': 'ETFDH'}]"
1,GeneOntologyCellularComponent,GO:0017133,mitochondrial electron transfer flavoprotein complex,1.50649033705681e-09,1.2805167864982892e-07,7.319372992527863e-07,2.5610335729965784e-07,20932,3,25,3, , ,"[{'Entrez': 2108, 'Symbol': 'ETFA'}, {'Entrez': 2109, 'Symbol': 'ETFB'}, {'Entrez': 2110, 'Symbol': 'ETFDH'}]"
2,Pubmed,20877624,Genetic variants in nuclear-encoded mitochondrial genes influence AIDS progression.,3.376854475467412e-11,1.481760744182539e-07,1.341910334e-06,1.6249423735949178e-07,44761,926,25,10,Pubmed,http://pubmed.org/20877624,"[{'Entrez': 65993, 'Symbol': 'MRPS34'}, {'Entrez': 80207, 'Symbol': 'OPA3'}, {'Entrez': 8402, 'Symbol': 'SLC25A11'}, {'Entrez': 11315, 'Symbol': 'PARK7'}, {'Entrez': 10166, 'Symbol': 'SLC25A15'}, {'Entrez': 10102, 'Symbol': 'TSFM'}, {'Entrez': 63931, 'Symbol': 'MRPS14'}, {'Entrez': 2108, 'Symbol': 'ETFA'}, {'Entrez': 2109, 'Symbol': 'ETFB'}, {'Entrez': 2110, 'Symbol': 'ETFDH'}]"
3,Pubmed,18614015,A mitochondrial protein compendium elucidates complex I disease biology.,1.1066034690631391e-10,1.481760744182539e-07,1.341910334e-06,5.324975893131827e-07,44761,1046,25,10,Pubmed,http://pubmed.org/18614015,"[{'Entrez': 65993, 'Symbol': 'MRPS34'}, {'Entrez': 80207, 'Symbol': 'OPA3'}, {'Entrez': 8402, 'Symbol': 'SLC25A11'}, {'Entrez': 11315, 'Symbol': 'PARK7'}, {'Entrez': 10166, 'Symbol': 'SLC25A15'}, {'Entrez': 10102, 'Symbol': 'TSFM'}, {'Entrez': 63931, 'Symbol': 'MRPS14'}, {'Entrez': 2108, 'Symbol': 'ETFA'}, {'Entrez': 2109, 'Symbol': 'ETFB'}, {'Entrez': 2110, 'Symbol': 'ETFDH'}]"
4,Pubmed,31418342,Molecular and Clinical Investigations on Portuguese Patients with Multiple acyl-CoA Dehydrogenase Deficiency.,1.5396516460749572e-10,1.481760744182539e-07,1.341910334e-06,7.408803720912694e-07,44761,3,25,3,Pubmed,http://pubmed.org/31418342,"[{'Entrez': 2108, 'Symbol': 'ETFA'}, {'Entrez': 2109, 'Symbol': 'ETFB'}, {'Entrez': 2110, 'Symbol': 'ETFDH'}]"
5,Pubmed,12815589,Clear relationship between ETF/ETFDH genotype and phenotype in patients with multiple acyl-CoA dehydrogenation deficiency.,1.5396516460749572e-10,1.481760744182539e-07,1.341910334e-06,7.408803720912694e-07,44761,3,25,3,Pubmed,http://pubmed.org/12815589,"[{'Entrez': 2108, 'Symbol': 'ETFA'}, {'Entrez': 2109, 'Symbol': 'ETFB'}, {'Entrez': 2110, 'Symbol': 'ETFDH'}]"
6,Pubmed,32550677,Multiple Acyl-CoA Dehydrogenase Deficiency,1.5396516460749572e-10,1.481760744182539e-07,1.341910334e-06,7.408803720912694e-07,44761,3,25,3,Pubmed,http://pubmed.org/32550677,"[{'Entrez': 2108, 'Symbol': 'ETFA'}, {'Entrez': 2109, 'Symbol': 'ETFB'}, {'Entrez': 2110, 'Symbol': 'ETFDH'}]"
7,Pubmed,19208393,Clinical and genetic analysis of lipid storage myopathies.,6.153309177947028e-10,4.934953960713517e-07,4.469186908000001e-06,2.9609723760000003e-06,44761,4,25,3,Pubmed,http://pubmed.org/19208393,"[{'Entrez': 2108, 'Symbol': 'ETFA'}, {'Entrez': 2109, 'Symbol': 'ETFB'}, {'Entrez': 2110, 'Symbol': 'ETFDH'}]"
8,Disease,C1856403,Glutaric Aciduria IIB,1.897479606620003e-09,4.949259307267176e-07,3.9263346250000006e-06,2.969555584e-06,19383,3,25,3,DisGeNET Curated,,"[{'Entrez': 2108, 'Symbol': 'ETFA'}, {'Entrez': 2109, 'Symbol': 'ETFB'}, {'Entrez': 2110, 'Symbol': 'ETFDH'}]"
9,Disease,C1856405,Glutaric Aciduria IIC,1.897479606620003e-09,4.949259307267176e-07,3.9263346250000006e-06,2.969555584e-06,19383,3,25,3,DisGeNET Curated,,"[{'Entrez': 2108, 'Symbol': 'ETFA'}, {'Entrez': 2109, 'Symbol': 'ETFB'}, {'Entrez': 2110, 'Symbol': 'ETFDH'}]"
