,Superphenotype,Node_name,Node_type,Phenotype_MIM_number,Gene_MIM_number,Parenthetical
0,MADD,Neonatal acidosis,entry.clinicalSynopsis.oldFormat.Metabolic,231680,,
1,MADD,Sweaty feet odor; Stale breath odor; Neonatal death frequent,entry.clinicalSynopsis.oldFormat.Misc,231680,,
2,MADD,Nausea,entry.clinicalSynopsis.oldFormat.GI,231680,,
3,MADD,Hypoglycemic coma,entry.clinicalSynopsis.oldFormat.Neuro,231680,,
4,MADD,Facial dysmorphism,entry.clinicalSynopsis.oldFormat.HEENT,231680,,
5,MADD,Jaundice,entry.clinicalSynopsis.oldFormat.Skin,231680,,
6,MADD,Respiratory distress,entry.clinicalSynopsis.oldFormat.Respiratory,231680,,
7,MADD,Selective proximal tubular damage,entry.clinicalSynopsis.oldFormat.GU,231680,,
8,MADD,Glutaric aciduria,entry.clinicalSynopsis.oldFormat.Lab,231680,,
9,MADD,Autosomal recessive,entry.clinicalSynopsis.oldFormat.Inheritance,231680,,
10,COXPD38,Autosomal recessive,entry.clinicalSynopsis.inheritance,618378,,
11,COXPD38,Failure to thrive,entry.clinicalSynopsis.growthOther,618378,,
12,COXPD38,Poor overall growth,entry.clinicalSynopsis.growthOther,618378,,
13,COXPD38,"Dysmorphic facial features, mild",entry.clinicalSynopsis.headAndNeckFace,618378,,
14,COXPD38,Small midface,entry.clinicalSynopsis.headAndNeckFace,618378,,
15,COXPD38,Low-set ears,entry.clinicalSynopsis.headAndNeckEars,618378,,
16,COXPD38,Retroverted ears,entry.clinicalSynopsis.headAndNeckEars,618378,,
17,COXPD38,Hypertelorism,entry.clinicalSynopsis.headAndNeckEyes,618378,,
18,COXPD38,Flat nasal bridge,entry.clinicalSynopsis.headAndNeckNose,618378,,
19,COXPD38,Hypertrophic cardiomyopathy,entry.clinicalSynopsis.cardiovascularHeart,618378,,
20,COXPD38,Impaired left ventricular contractility,entry.clinicalSynopsis.cardiovascularHeart,618378,,
21,COXPD38,Wolff-Parkinson-White syndrome,entry.clinicalSynopsis.cardiovascularHeart,618378,,
22,COXPD38,Respiratory insufficiency,entry.clinicalSynopsis.respiratory,618378,,
23,COXPD38,Hypotonia Skeletal muscle shows decreased activity of mitochondrial complex IV,entry.clinicalSynopsis.muscleSoftTissue,618378,,
24,COXPD38,Abnormal mitochondrial morphology,entry.clinicalSynopsis.muscleSoftTissue,618378,,
25,COXPD38,Global developmental delay,entry.clinicalSynopsis.neurologicCentralNervousSystem,618378,,
26,COXPD38,Delayed walking,entry.clinicalSynopsis.neurologicCentralNervousSystem,618378,,
27,COXPD38,Impaired intellectual development,entry.clinicalSynopsis.neurologicCentralNervousSystem,618378,,
28,COXPD38,Speech delay,entry.clinicalSynopsis.neurologicCentralNervousSystem,618378,,
29,COXPD38,Lactic acidosis,entry.clinicalSynopsis.metabolicFeatures,618378,,
30,COXPD38,Combined oxidative phosphorylation deficiency in various tissues,entry.clinicalSynopsis.laboratoryAbnormalities,618378,,
31,COXPD38,Increased serum lactate,entry.clinicalSynopsis.laboratoryAbnormalities,618378,,
32,COXPD32,Autosomal recessive,entry.clinicalSynopsis.inheritance,617664,,
33,COXPD32,Coarse facial features,entry.clinicalSynopsis.headAndNeckFace,617664,,(in some patients)
34,COXPD32,Dysconjugate eye movements,entry.clinicalSynopsis.headAndNeckEyes,617664,,
35,COXPD32,Strabismus,entry.clinicalSynopsis.headAndNeckEyes,617664,,
36,COXPD32,Exotropia,entry.clinicalSynopsis.headAndNeckEyes,617664,,
37,COXPD32,Ptosis,entry.clinicalSynopsis.headAndNeckEyes,617664,,
