,Superphenotype,Node_name,Node_type,Phenotype_MIM_number,Gene_MIM_number,Parenthetical
0,RHYNS,Autosomal recessive,entry.clinicalSynopsis.inheritance,602152,,
1,RHYNS,Short stature,entry.clinicalSynopsis.growthHeight,602152,,
2,RHYNS,"Sensorineural deafness, unilateral severe",entry.clinicalSynopsis.headAndNeckEars,602152,,
3,RHYNS,Ptosis,entry.clinicalSynopsis.headAndNeckEyes,602152,,
4,RHYNS,Exotropia,entry.clinicalSynopsis.headAndNeckEyes,602152,,
5,RHYNS,Retinitis pigmentosa,entry.clinicalSynopsis.headAndNeckEyes,602152,,
6,RHYNS,Extinguished electroretinogram responses bilaterally,entry.clinicalSynopsis.headAndNeckEyes,602152,,
7,RHYNS,"Renal failure, progressive",entry.clinicalSynopsis.genitourinaryKidneys,602152,,
8,RHYNS,Nephronophthisis,entry.clinicalSynopsis.genitourinaryKidneys,602152,,
9,RHYNS,Delayed bone age,entry.clinicalSynopsis.skeletal,602152,,
10,RHYNS,Generalized osteopenia,entry.clinicalSynopsis.skeletal,602152,,
11,RHYNS,Thickened calvarium,entry.clinicalSynopsis.skeletalSkull,602152,,
12,RHYNS,Rotoscoliosis,entry.clinicalSynopsis.skeletalSpine,602152,,
13,RHYNS,Hypoplastic iliac bones,entry.clinicalSynopsis.skeletalPelvis,602152,,
14,RHYNS,Irregular acetabular margins,entry.clinicalSynopsis.skeletalPelvis,602152,,
15,RHYNS,Thin tubular bones,entry.clinicalSynopsis.skeletalLimbs,602152,,
16,RHYNS,Shortened long bones,entry.clinicalSynopsis.skeletalLimbs,602152,,
17,RHYNS,Bowed radii,entry.clinicalSynopsis.skeletalLimbs,602152,,
18,RHYNS,Short femoral neck,entry.clinicalSynopsis.skeletalLimbs,602152,,
19,RHYNS,Epiphyseal hypoplasia,entry.clinicalSynopsis.skeletalLimbs,602152,,
20,RHYNS,Thinning of diaphyseal cortex,entry.clinicalSynopsis.skeletalLimbs,602152,,
21,RHYNS,Brachydactyly,entry.clinicalSynopsis.skeletalHands,602152,,
22,RHYNS,Thinning of diaphyseal cortex,entry.clinicalSynopsis.skeletalHands,602152,,
23,RHYNS,Congenital palsy of right cranial nerve III,entry.clinicalSynopsis.neurologicCentralNervousSystem,602152,,
