,Superphenotype,Node_name,Node_type,Phenotype_MIM_number,Gene_MIM_number,Parenthetical
0,"HYPERTHYROIDISM, FAMILIAL GESTATIONAL",Weight loss,entry.clinicalSynopsis.growthWeight,603373,,
1,"HYPERTHYROIDISM, FAMILIAL GESTATIONAL",Nausea,entry.clinicalSynopsis.abdomenGastrointestinal,603373,,
2,"HYPERTHYROIDISM, FAMILIAL GESTATIONAL",Vomiting,entry.clinicalSynopsis.abdomenGastrointestinal,603373,,
3,"HYPERTHYROIDISM, FAMILIAL GESTATIONAL",Gestational hyperthyroidism,entry.clinicalSynopsis.endocrineFeatures,603373,,
4,"HYPERTHYROIDISM, FAMILIAL GESTATIONAL",Diffuse goiter,entry.clinicalSynopsis.endocrineFeatures,603373,,
5,"HYPERTHYROIDISM, FAMILIAL GESTATIONAL",Hyperemesis gravidarum,entry.clinicalSynopsis.prenatalManifestationsMaternal,603373,,
6,"HYPERTHYROIDISM, FAMILIAL GESTATIONAL","Spontaneous abortion, recurrent",entry.clinicalSynopsis.prenatalManifestationsDelivery,603373,,
7,"HYPERTHYROIDISM, FAMILIAL GESTATIONAL",Decreased TSH,entry.clinicalSynopsis.laboratoryAbnormalities,603373,,
8,"HYPERTHYROIDISM, FAMILIAL GESTATIONAL",Increased serum free thyroxine,entry.clinicalSynopsis.laboratoryAbnormalities,603373,,(T4)
9,"HYPERTHYROIDISM, FAMILIAL GESTATIONAL",Increased serum triiodothyronine,entry.clinicalSynopsis.laboratoryAbnormalities,603373,,(T3)
10,MTDPS19,Increased serum lactate,entry.clinicalSynopsis.laboratoryAbnormalities,618972,,
11,MTDPS19,"Hearing loss, unilateral",entry.clinicalSynopsis.headAndNeckEars,618972,,
12,MTDPS19,Poor eye tracking,entry.clinicalSynopsis.headAndNeckEyes,618972,,
13,MTDPS19,Hypospadias,entry.clinicalSynopsis.genitourinaryExternalGenitaliaMale,618972,,
14,MTDPS19,Hydrocele,entry.clinicalSynopsis.genitourinaryExternalGenitaliaMale,618972,,
15,MTDPS19,Decreased mtDNA content in muscle tissue,entry.clinicalSynopsis.muscleSoftTissue,618972,,
16,MTDPS19,Mitochondrial complex I deficiency in muscle tissue,entry.clinicalSynopsis.muscleSoftTissue,618972,,
17,MTDPS19,Hypotonia,entry.clinicalSynopsis.neurologicCentralNervousSystem,618972,,
18,MTDPS19,Lack of spontaneous movements,entry.clinicalSynopsis.neurologicCentralNervousSystem,618972,,
19,MTDPS19,"Seizures, early-onset",entry.clinicalSynopsis.neurologicCentralNervousSystem,618972,,
20,MTDPS19,Seizures are refractory,entry.clinicalSynopsis.neurologicCentralNervousSystem,618972,,
21,MTDPS19,Multifocal epileptiform activity seen on EEG,entry.clinicalSynopsis.neurologicCentralNervousSystem,618972,,
22,MTDPS19,Suppression-burst pattern,entry.clinicalSynopsis.neurologicCentralNervousSystem,618972,,
23,MTDPS19,Spasticity,entry.clinicalSynopsis.neurologicCentralNervousSystem,618972,,
24,MTDPS19,Quadriparesis,entry.clinicalSynopsis.neurologicCentralNervousSystem,618972,,
25,MTDPS19,Dyskinesias,entry.clinicalSynopsis.neurologicCentralNervousSystem,618972,,
26,MTDPS19,Normal intellectual development,entry.clinicalSynopsis.neurologicCentralNervousSystem,618972,,
27,MTDPS19,White matter abnormalities seen on brain imaging,entry.clinicalSynopsis.neurologicCentralNervousSystem,618972,,
28,MTDPS19,Thin corpus callosum,entry.clinicalSynopsis.neurologicCentralNervousSystem,618972,,
29,MTDPS19,"Anemia, iron-deficient",entry.clinicalSynopsis.hematology,618972,,
30,NYS6,"Congenital nystagmus, horizontal",entry.clinicalSynopsis.headAndNeckEyes,300814,,
31,NYS6,Mottled retinal pigmentation,entry.clinicalSynopsis.headAndNeckEyes,300814,,
32,NYS6,Foveal hypoplasia,entry.clinicalSynopsis.headAndNeckEyes,300814,,
33,NYS6,Decreased visual acuity,entry.clinicalSynopsis.headAndNeckEyes,300814,,
34,NYS6,Myopia,entry.clinicalSynopsis.headAndNeckEyes,300814,,
35,NYS6,Amblyopia,entry.clinicalSynopsis.headAndNeckEyes,300814,,
36,NYS6,Astigmatism,entry.clinicalSynopsis.headAndNeckEyes,300814,,
37,NYS6,Normal skin pigmentation,entry.clinicalSynopsis.skinNailsHairSkin,300814,,
38,NYS6,Normal hair pigmentation,entry.clinicalSynopsis.skinNailsHairHair,300814,,
39,FCAS3,"Urticaria, cold-induced",entry.clinicalSynopsis.skinNailsHairSkin,614468,,
40,FCAS3,"Erythema, cold-induced",entry.clinicalSynopsis.skinNailsHairSkin,614468,,
41,FCAS3,"Pruritis, cold-induced",entry.clinicalSynopsis.skinNailsHairSkin,614468,,
42,FCAS3,Increased mast cells,entry.clinicalSynopsis.skinNailsHairSkin,614468,,
43,FCAS3,Mast cell degranulation,entry.clinicalSynopsis.skinNailsHairSkin,614468,,
44,FCAS3,Granulomatous dermatitis,entry.clinicalSynopsis.skinNailsHairSkin,614468,,(in some patients)
45,FCAS3,Allergic rhinitis,entry.clinicalSynopsis.headAndNeckNose,614468,,
46,FCAS3,Asthma,entry.clinicalSynopsis.respiratoryAirways,614468,,(in some patients)
47,FCAS3,Recurrent infections,entry.clinicalSynopsis.immunology,614468,,
48,FCAS3,Decreased serum IgA,entry.clinicalSynopsis.immunology,614468,,
49,FCAS3,Decreased serum IgM,entry.clinicalSynopsis.immunology,614468,,
50,FCAS3,Increased serum IgE,entry.clinicalSynopsis.immunology,614468,,
51,FCAS3,Decreased circulating B cells,entry.clinicalSynopsis.immunology,614468,,
52,FCAS3,Defective B cell class-switching,entry.clinicalSynopsis.immunology,614468,,
53,FCAS3,Decreased circulating NK cells,entry.clinicalSynopsis.immunology,614468,,
54,FCAS3,Autoimmune disease,entry.clinicalSynopsis.immunology,614468,,(in some patients)
55,FCAS3,Positive antinuclear autoantibodies,entry.clinicalSynopsis.immunology,614468,,
56,FCAS3,Vitiligo,entry.clinicalSynopsis.immunology,614468,,
57,FCAS3,Hashimoto's thyroiditis,entry.clinicalSynopsis.immunology,614468,,
58,FCAS3,Food allergies,entry.clinicalSynopsis.immunology,614468,,(in some patients)
59,PARK2,"Parkinsonism, early-onset",entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,
60,PARK2,Bradykinesia,entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,
61,PARK2,Rigidity,entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,
62,PARK2,Postural instability,entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,
63,PARK2,Tremor,entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,
64,PARK2,Gait disturbances,entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,
65,PARK2,Dystonia,entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,
66,PARK2,Hyperreflexia may occur,entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,
67,PARK2,Diurnal fluctuations of symptoms,entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,(in a subset of patients)
68,PARK2,No dementia,entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,
69,PARK2,Neuronal loss and gliosis in the substantia nigra pars compacta,entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,
70,PARK2,Neuronal loss in the locus ceruleus,entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,
71,PARK2,No Lewy bodies,entry.clinicalSynopsis.neurologicCentralNervousSystem,600116,,
72,PARK4,Weight loss,entry.clinicalSynopsis.growthWeight,605543,,
73,PARK4,Parkinsonism,entry.clinicalSynopsis.neurologicCentralNervousSystem,605543,,
74,PARK4,Dementia,entry.clinicalSynopsis.neurologicCentralNervousSystem,605543,,
75,PARK4,Diffuse Lewy body pathology,entry.clinicalSynopsis.neurologicCentralNervousSystem,605543,,
76,PARK4,Alpha-synuclein immunoreactive neuronal and glial inclusions,entry.clinicalSynopsis.neurologicCentralNervousSystem,605543,,
